Study Title,Interventions (Drugs),SMILES,Type (C/I),Location,Remarks
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Lanatoside C ,"C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2CC[C@]3([C@@H](C2)CC[C@@H]4[C@@H]3C[C@H]([C@]5([C@@]4(CC[C@@H]5C6=CC(=O)OC6)O)C)O)C)O)O[C@H]7C[C@@H]([C@@H]([C@H](O7)C)O[C@H]8C[C@@H]([C@@H]([C@H](O8)C)O[C@H]9[C@@H]([C@H]([C@@H]([C@H](O9)CO)O)O)O)OC(=O)C)O
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Ceritinib (LDK378),CC1=CC(=C(C=C1C2CCNCC2)OC(C)C)NC3=NC=C(C(=N3)NC4=CC=CC=C4S(=O)(=O)C(C)C)Cl,C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Loperamide
hydrochloride ","CN(C)C(=O)C(CCN1CCC(CC1)(C2=CC=C(C=C2)Cl)O)(C3=CC=CC=C3)C4=CC=CC=C4.Cl
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Lusutrombopag,"CCCCCCOC(C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)C=C(C)C(=O)O)Cl
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Lusutrombopag,"CCCCCCO[C@@H](C)C1=CC=CC(=C1OC)C2=CSC(=N2)NC(=O)C3=CC(=C(C(=C3)Cl)/C=C(\C)/C(=O)O)Cl
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Mefloquine,"C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Mefloquine,"C1CCN[C@H](C1)[C@H](C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Mequitazine,"C1CN2CCC1C(C2)CN3C4=CC=CC=C4SC5=CC=CC=C53
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Niclosamide,"C1=CC(=C(C=C1[N+](=O)[O-])Cl)NC(=O)C2=C(C=CC(=C2)Cl)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Osajin,"CC(=CCC1=C2C(=C3C(=C1O)C(=O)C(=CO3)C4=CC=C(C=C4)O)C=CC(O2)(C)C)C
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Osimertinib
mesylate ","CN1C=C(C2=CC=CC=C21)C3=NC(=NC=C3)NC4=C(C=C(C(=C4)NC(=O)C=C)N(C)CCN(C)C)OC.CS(=O)(=O)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Ouabain,"CC1C(C(C(C(O1)OC2CC(C3(C4C(CCC3(C2)O)C5(CCC(C5(CC4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Ouabain,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2C[C@H]([C@@]3([C@@H]4[C@@H](CC[C@@]3(C2)O)[C@]5(CC[C@@H]([C@]5(C[C@H]4O)C)C6=CC(=O)OC6)O)CO)O)O)O)O
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Oxyclozanide,"C1=C(C=C(C(=C1NC(=O)C2=C(C(=CC(=C2Cl)Cl)Cl)O)O)Cl)Cl
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Penfluridol,"C1CN(CCC1(C2=CC(=C(C=C2)Cl)C(F)(F)F)O)CCCC(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Perhexiline
maleate ","C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=CC(=O)O)C(=O)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Perhexiline
maleate ","C1CCC(CC1)C(CC2CCCCN2)C3CCCCC3.C(=C\C(=O)O)\C(=O)O
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Phenazopyridine hydrochloride,"C1=CC=C(C=C1)N=NC2=C(N=C(C=C2)N)N.Cl
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Proscillaridin,"CC1C(C(C(C(O1)OC2CCC3(C4CCC5(C(CCC5(C4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Proscillaridin,"C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)O[C@H]2CC[C@@]3([C@H]4CC[C@@]5([C@H](CC[C@@]5([C@@H]4CCC3=C2)O)C6=COC(=O)C=C6)C)C)O)O)O

",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Pyronaridine
tetraphosphate ","COC1=NC2=C(C3=C(C=C(C=C3)Cl)N=C2C=C1)NC4=CC(=C(C(=C4)CN5CCCC5)O)CN6CCCC6.OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O.OP(=O)(O)O
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Quinacrine
hydrochloride ","CCN(CC)CCCC(C)NC1=C2C=C(C=CC2=NC3=C1C=CC(=C3)Cl)OC.Cl.Cl
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Salinomycin sodium,CCC(C1CCC(C(O1)C(C)C(C(C)C(=O)C(CC)C2C(CC(C3(O2)C=CC(C4(O3)CCC(O4)(C)C5CCC(C(O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].[Na+],C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Salinomycin sodium,"CC[C@H]([C@H]1CC[C@@H]([C@@H](O1)[C@@H](C)[C@@H]([C@H](C)C(=O)[C@H](CC)[C@@H]2[C@H](C[C@H]([C@]3(O2)C=C[C@H]([C@@]4(O3)CC[C@@](O4)(C)[C@H]5CC[C@@]([C@@H](O5)C)(CC)O)O)C)C)O)C)C(=O)[O-].[Na+]
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Tetrandrine,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC,C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Tetrandrine,"CN1CCC2=CC(=C3C=C2[C@@H]1CC4=CC=C(C=C4)OC5=C(C=CC(=C5)C[C@H]6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)OC)OC
",I,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf","Thioridazine
hydrochloride ","CN1CCCCC1CCN2C3=CC=CC=C3SC4=C2C=C(C=C4)SC.Cl
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Tilorone,"CCN(CC)CCOC1=CC2=C(C=C1)C3=C(C2=O)C=C(C=C3)OCCN(CC)CC
",C,,
"Antiviral drug candidates against SARS-CoV-2 from FDA-approved drugs
https://www.biorxiv.org/content/10.1101/2020.03.20.999730v2.full.pdf",Triparanol,"CCN(CC)CCOC1=CC=C(C=C1)C(CC2=CC=C(C=C2)Cl)(C3=CC=C(C=C3)C)O
",C,,
Negative control smiles,Fluphenazine,C1CN(CCN1CCCN2C3=CC=CC=C3SC4=C2C=C(C=C4)C(F)(F)F)CCO,C,,
Negative control smiles,Aspirin,,C,,
Negative control smiles,Propranolol hydrochloride,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O.Cl,C,,
Negative control smiles,Carvedilol,COC1=CC=CC=C1OCCNCC(COC2=CC=CC3=C2C4=CC=CC=C4N3)O,C,,
Negative control smiles,deferoxamine,CC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCNC(=O)CCC(=O)N(CCCCCN)O)O)O,C,,
Negative control smiles,Secnidazole,CC1=NC=C(N1CC(C)O)[N+](=O)[O-],C,,
Negative control smiles,GERANIOL,CC(=CCCC(=CCO)C)C,C,,
Negative control smiles,GERANIOL,CC(=CCC/C(=C/CO)/C)C,I,,
Negative control smiles,Fertirelin,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,C,,
Negative control smiles,Fertirelin,CCNC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC3=CNC4=CC=CC=C43)NC(=O)[C@H](CC5=CN=CN5)NC(=O)[C@@H]6CCC(=O)N6,I,,
Negative control smiles,Tesaglitazar,CCOC(CC1=CC=C(C=C1)OCCC2=CC=C(C=C2)OS(=O)(=O)C)C(=O)O,C,,
Negative control smiles,Tesaglitazar,CCO[C@@H](CC1=CC=C(C=C1)OCCC2=CC=C(C=C2)OS(=O)(=O)C)C(=O)O,I,,
Negative control smiles,Desloratadine,C1CC2=C(C=CC(=C2)Cl)C(=C3CCNCC3)C4=C1C=CC=N4,C,,
Negative control smiles,Desvenlafaxine,CN(C)CC(C1=CC=C(C=C1)O)C2(CCCCC2)O,C,,
Negative control smiles,Dexrazoxane,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,C,,
Negative control smiles,Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,I,,
Negative control smiles,dexlansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,C,,
Negative control smiles,dexlansoprazole,CC1=C(C=CN=C1C[S@@](=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,I,,
Negative control smiles,Dexanabinol,CCCCCCC(C)(C)C1=CC(=C2C3CC(=CCC3C(OC2=C1)(C)C)CO)O,C,,
Negative control smiles,Dexanabinol,CCCCCCC(C)(C)C1=CC(=C2[C@H]3CC(=CC[C@@H]3C(OC2=C1)(C)C)CO)O,I,,
Negative control smiles,Fecosterol,CC(C)C(=C)CCC(C)C1CCC2C1(CCC3=C2CCC4C3(CCC(C4)O)C)C,C,,
Negative control smiles,Fecosterol,C[C@H](CCC(=C)C(C)C)[C@H]1CC[C@@H]2[C@@]1(CCC3=C2CC[C@@H]4[C@@]3(CC[C@@H](C4)O)C)C,I,,
Negative control smiles,Feclobuzone,CCCCC1(C(=O)N(N(C1=O)C2=CC=CC=C2)C3=CC=CC=C3)COC(=O)C4=CC=C(C=C4)Cl,C,,
Negative control smiles,Feclemine,CCN(CC)CC(CN(CC)CC)C(C1CCCCC1)C2=CC=CC=C2,C,,
Negative control smiles,Dichlorvos,COP(=O)(OC)OC=C(Cl)Cl,,,
Negative control smiles,Dermorphin,CC(C(=O)NC(CC1=CC=CC=C1)C(=O)NCC(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)NC(CO)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)O)N,C,,
Negative control smiles,Dermorphin,C[C@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)NCC(=O)N[C@@H](CC2=CC=C(C=C2)O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CO)C(=O)N)NC(=O)[C@H](CC4=CC=C(C=C4)O)N,I,,
Negative control smiles,Deramciclane,CC1(C2CCC1(C(C2)(C3=CC=CC=C3)OCCN(C)C)C)C,C,,
Negative control smiles,Deramciclane,"C[C@@]12CC[C@@H](C1(C)C)C[C@@]2(C3=CC=CC=C3)OCCN(C)C
",I,,
Negative control smiles,Deriglidole,CCCC1(CC2=CC=CC3=C2N1CC3)C4=NCCN4,C,,
Negative control smiles,derrustone,COC1=CC2=C(C(=C1)OC)C(=O)C(=CO2)C3=CC4=C(C=C3)OCO4,C,,
Negative control smiles,Lersivirine,CCC1=C(C(=NN1CCO)CC)OC2=CC(=CC(=C2)C#N)C#N,C,,
Negative control smiles,Lercanidipine,CC1=C(C(C(=C(N1)C)C(=O)OC(C)(C)CN(C)CCC(C2=CC=CC=C2)C3=CC=CC=C3)C4=CC(=CC=C4)[N+](=O)[O-])C(=O)OC,C,,
Negative control smiles,Anileridine,CCOC(=O)C1(CCN(CC1)CCC2=CC=C(C=C2)N)C3=CC=CC=C3,C,,
Negative control smiles,Lexacalcitol,CCC(CC)(CCCOC(C)C1CCC2C1(CCCC2=CC=C3CC(CC(C3=C)O)O)C)O,C,,
Negative control smiles,Lexacalcitol,CCC(CC)(CCCO[C@H](C)[C@H]1CC[C@@H]\2[C@@]1(CCC/C2=C\C=C/3\C[C@H](C[C@@H](C3=C)O)O)C)O,I,,
Negative control smiles,Bromazepam,C1C(=O)NC2=C(C=C(C=C2)Br)C(=N1)C3=CC=CC=N3,C,,
Negative control smiles,hesperetin,COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O,C,,
Negative control smiles,hesperetin,COC1=C(C=C(C=C1)[C@@H]2CC(=O)C3=C(C=C(C=C3O2)O)O)O,I,,
Negative control smiles,Hesperidin,CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,C,,
Negative control smiles,Hesperidin,C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)OC3=CC(=C4C(=O)C[C@H](OC4=C3)C5=CC(=C(C=C5)OC)O)O)O)O)O)O)O)O,I,,
Negative control smiles,loratadine,"CCOC(=O)N1CCC(=C2C3=C(CCC4=C2N=CC=C4)C=C(C=C3)Cl)CC1

",C,,
Negative control smiles,Lornoxicam,CN1C(=C(C2=C(S1(=O)=O)C=C(S2)Cl)O)C(=O)NC3=CC=CC=N3,C,,
Negative control smiles,Lorglumide,CCCCCN(CCCCC)C(=O)C(CCC(=O)O)NC(=O)C1=CC(=C(C=C1)Cl)Cl,C,,
Negative control smiles,Sertaconazole,C1=CC2=C(C(=C1)Cl)SC=C2COC(CN3C=CN=C3)C4=C(C=C(C=C4)Cl)Cl,C,,
Negative control smiles,Mephenytoin,CCC1(C(=O)N(C(=O)N1)C)C2=CC=CC=C2,C,,
Negative control smiles,mestranol,CC12CCC3C(C1CCC2(C#C)O)CCC4=C3C=CC(=C4)OC,C,,
Negative control smiles,mestranol,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@]2(C#C)O)CCC4=C3C=CC(=C4)OC,I,,
Negative control smiles,mesalamine,C1=CC(=C(C=C1N)C(=O)O)O,C,,
Negative control smiles,Mexiletine,CC1=C(C(=CC=C1)C)OCC(C)N,C,,
Negative control smiles,Mecillinam,CC1(C(N2C(S1)C(C2=O)N=CN3CCCCCC3)C(=O)O)C,C,,
Negative control smiles,Mecillinam,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)N=CN3CCCCCC3)C(=O)O)C,I,,
Negative control smiles,Nestoron,CC(=O)C1(C(=C)CC2C1(CCC3C2CCC4=CC(=O)CCC34)C)OC(=O)C,C,,
Negative control smiles,Nestoron,CC(=O)[C@]1(C(=C)C[C@@H]2[C@@]1(CC[C@H]3[C@H]2CCC4=CC(=O)CC[C@H]34)C)OC(=O)C,I,,
Negative control smiles,Nesapidil,CC1=NN=C(O1)C2=CC(=CC=C2)OCC(CN3CCN(CC3)C4=CC=CC=C4OC)O,C,,
Negative control smiles,Thalidomide,C1CC(=O)NC(=O)C1N2C(=O)C3=CC=CC=C3C2=O,C,,
Negative control smiles,Stavudine,CC1=CN(C(=O)NC1=O)C2C=CC(O2)CO,C,,
Negative control smiles,Stavudine,CC1=CN(C(=O)NC1=O)[C@H]2C=C[C@H](O2)CO,I,,
Negative control smiles,Meperidine,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2,C,,
Negative control smiles,Meperidine hydrochloride,CCOC(=O)C1(CCN(CC1)C)C2=CC=CC=C2.Cl,C,,
Negative control smiles,Urethane,CCOC(=O)N,C,,
Negative control smiles,azelastine,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,C,,
Negative control smiles,4-Benzylphenol,C1=CC=C(C=C1)CC2=CC=C(C=C2)O,C,,
Negative control smiles,betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,C,,
Negative control smiles,Besipirdine,CCCN(C1=CC=NC=C1)N2C=CC3=CC=CC=C32,C,,
Negative control smiles,Lesogaberan,C(C(C[P+](=O)O)F)N,C,,
Negative control smiles,Lesogaberan,C([C@H](C[P+](=O)O)F)N,I,,
Negative control smiles,Acetaldehyde,CC=O,C,,
Negative control smiles,Verbenalin,CC1CC(=O)C2C1C(OC=C2C(=O)OC)OC3C(C(C(C(O3)CO)O)O)O,C,,
Negative control smiles,Verbenalin,C[C@H]1CC(=O)[C@H]2[C@@H]1[C@@H](OC=C2C(=O)OC)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O,I,,